Event Title,Slug,Collection ID,Created On,Location,Registration Link,Date,Time,Price,Online/offline,Organizer,Image,Description,Clicks
A Designer's Life at a Product or Services Company,a-designers-life-at-a-product-or-services-company,5e1f40c8bbfbed43bd5c2d7d,Fri May 15 2020 17:12:58 GMT+0000 (Coordinated Universal Time),Online,https://www.airmeet.com/e/a87c19f0-9527-11ea-bf53-378373f4c26d,16/05/2020,,Free,Online,Copods,,,
Artistic Activities for Designers - Friday Funda/F1 Studioz,artistic-activities-for-designers-friday-funda-f1-studioz,5e1f40c8bbfbed43bd5c2d7d,Tue May 05 2020 13:34:18 GMT+0000 (Coordinated Universal Time),Online,https://bit.ly/artistic-activities,08/05/2020,,Free,Online,F1Studioz,,,
Awesome Conf - Conference regarding Development in Dev & Design Domains,awesome-conf-conference-regarding-development-in-dev-design-domains,5e1f40c8bbfbed43bd5c2d7d,Tue Apr 28 2020 07:56:21 GMT+0000 (Coordinated Universal Time),Online,https://www.townscript.com/v1/e/awesomeconf-2020-232440/booking,03/05/2020,,Free,Online,An Awesome Conference,,,
Bridging the gap between Product and Design,bridging-the-gap-between-product-and-design,5e1f40c8bbfbed43bd5c2d7d,Sat Apr 04 2020 19:15:19 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/e/1FAIpQLSczchMjRqkgEgH9P-u4-idKy-UGuT369IO9ssFCisTV0bOe0A/viewform,08/04/2020,,Free,Online,CleverTap,,,
Create Engaging Products that Grow,create-engaging-products-that-grow,5e1f40c8bbfbed43bd5c2d7d,Mon Mar 30 2020 05:41:04 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/e/1FAIpQLSe2X1vtJIKPB6GkOHrhi_eqD_jIyxkw0VBw80dzO4kik8-nHg/viewform,,,Free,Online,Rethinking UX,,,
Creating multi-brand design systems - Figma,creating-multi-brand-design-systems-figma,5e1f40c8bbfbed43bd5c2d7d,Sun May 10 2020 16:31:18 GMT+0000 (Coordinated Universal Time),Online,https://figma.zoom.us/webinar/register/WN_lvwxvgOYTeO5IlJIWkiuVw,12/05/2020,,Free,Online,Figma,,,
Design is Not Just What You Think It Is - Design Worms,design-is-not-just-what-you-think-it-is-design-worms,5e1f40c8bbfbed43bd5c2d7d,Tue May 19 2020 03:33:11 GMT+0000 (Coordinated Universal Time),Online,https://bit.ly/design-worms,20/05/2020,,Free,Online,The Design Worms,,,
Design Learnings from Swiggy & its Journey into Designing a Great Product,design-learnings-from-swiggy-its-journey-into-designing-a-great-product,5e1f40c8bbfbed43bd5c2d7d,Tue Mar 31 2020 11:32:48 GMT+0000 (Coordinated Universal Time),Online,https://pages.razorpay.com/tpfopds2,,02 - 03:30 pm,Paid,Online,The Product Folks,,,
Design Thinking and Innovation workshop,design-thinking-and-innovation-workshop-2,5e1f40c8bbfbed43bd5c2d7d,Sat Feb 29 2020 18:17:26 GMT+0000 (Coordinated Universal Time),Bangalore,https://ipqc.in/product/design-thinking-and-innovation-workshop/?fbclid=IwAR3XiCUFsINT14UWsFJ31ruDUqViRBYYE_KNMz_1LILV0uTg93PJUM_y_p8,,09:00 - 18:00,Paid,Offline,91springboard,,,
Design Thinking applied in UX - IDF BLR,design-thinking-applied-in-ux-idf-blr,5e1f40c8bbfbed43bd5c2d7d,Tue Apr 14 2020 17:46:54 GMT+0000 (Coordinated Universal Time),Online,https://www.eventbrite.com/e/design-thinking-applied-in-ux-online-registration-102560447058,18/04/2020,,Free,Online,IDF BLR,,,
Design Thinking Retreat,design-thinking-retreat-2,5e1f40c8bbfbed43bd5c2d7d,Sat Feb 29 2020 18:17:28 GMT+0000 (Coordinated Universal Time),Bangalore,https://docs.google.com/forms/d/e/1FAIpQLSfHpnRcGqHFvpmUWUaMUCYUYaM0HyhLI66ZuRrxjVvxRqt_Mw/viewform,,,Free,Offline,,,,
Design Thinking Workshop and Training,design-thinking-workshop-and-training-2,5e1f40c8bbfbed43bd5c2d7d,Sat Feb 29 2020 18:17:28 GMT+0000 (Coordinated Universal Time),Bangalore,https://www.eventshigh.com/detail/Bangalore/5062a633b67aa38938a0d6d38a7fa451?fbclid=IwAR1A-j8zXz3rtN-XQ1dadkyswXnEu5TxD7hP7jqh6y8qe9xIHyVGxhRqess,,,Paid,Offline,Gizmoz,,,
Designing for all stakeholders,designing-for-all-stakeholders-2,5e1f40c8bbfbed43bd5c2d7d,Sat Feb 29 2020 18:17:27 GMT+0000 (Coordinated Universal Time),Bangalore,https://hub.hellomeets.com/e/designing-for-all-stakeholders,,,Paid,Online,Hellomeets,,,
Designing for Developing Countries - Jay Demetillo,designing-for-developing-countries-jay-demetillo,5e1f40c8bbfbed43bd5c2d7d,Tue Apr 14 2020 18:13:50 GMT+0000 (Coordinated Universal Time),Online,https://hub.hellomeets.com/e/designing-for-developing-countries?utm_source=whatsapp&utm_medium=chat,26/04/2020,,Paid,Online,HelloMeets,,,
Designing for Different Cultures - Lollypop Unplugged,designing-for-different-cultures-lollypop-unplugged,5e1f40c8bbfbed43bd5c2d7d,Fri Apr 24 2020 15:16:58 GMT+0000 (Coordinated Universal Time),Online,https://zoom.us/webinar/register/WN_jkmlBamQSTK9o-M2sBVxww,27/04/2020,,Free,Online,Lollypop Unplugged,,,
Designing for Hypergrowth,designing-for-hypergrowth,5e1f40c8bbfbed43bd5c2d7d,Thu Mar 12 2020 04:03:32 GMT+0000 (Coordinated Universal Time),Bangalore,https://accelindia.typeform.com/to/ysAyQp,,,Free,Online,Accel India,,,
"Designing for motivation, engagement and well being in digital experience",designing-for-motivation-engagement-and-well-being-in-digital-experience-2,5e1f40c8bbfbed43bd5c2d7d,Sat Feb 29 2020 18:17:27 GMT+0000 (Coordinated Universal Time),Bangalore,https://hub.hellomeets.com/,,,Paid,Online,Hellomeets,,,
Designing Usable Voice Interactions - DETAUX,designing-usable-voice-interactions-detaux,5e1f40c8bbfbed43bd5c2d7d,Mon Apr 20 2020 17:16:24 GMT+0000 (Coordinated Universal Time),Online,https://in.explara.com/e/detaux-designerrslive-designing-usable-voice-interactions,09/05/2020,,Paid,Online,Designerrs,,,
DFROSTNID - Syntax of Senses,dfrostnid-syntax-of-senses,5e1f40c8bbfbed43bd5c2d7d,Wed Mar 11 2020 05:53:41 GMT+0000 (Coordinated Universal Time),"NID, Bangalore",http://www.dfrostnid.com/,,,Paid,Offline,NID Bangalore,,,
Engage the Users - Why & How  | Madrasters Short Talks,engage-the-users-why-how-madrasters-short-talks,5e1f40c8bbfbed43bd5c2d7d,Wed May 13 2020 16:33:06 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/e/1FAIpQLSeBTu6VQY3kMp5OorRPE1qjY4bt-sXg0mIdmrOF5jaqJTOKaA/viewform,16/05/2020,,Free,Online,Madrasters Short Talks,,,
"Feelings, Emotions & Culture in Product Design - Saptarshi Prakash",feelings-emotions-culture-in-product-design-saptarshi-prakash,5e1f40c8bbfbed43bd5c2d7d,Fri Apr 24 2020 15:18:56 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/e/1FAIpQLSegmtJy9kPwiFvFkNjSVxbIxetganFDvnMLD9-6ej4vjypbQw/viewform,26/04/2020,,Free,Online,,,,
Field Study Fundamentals - Masterclass,field-study-fundamentals-masterclass,5e1f40c8bbfbed43bd5c2d7d,Sun Mar 01 2020 03:43:09 GMT+0000 (Coordinated Universal Time),Bangalore,https://ti.to/studio-d/Bengaluru-2020-01,16/04/2020,,Paid,Offline,to.to Studio,,,
Figma Bangalore + Webflow = Design Overflow,figma-bangalore-webflow-design-overflow,5e1f40c8bbfbed43bd5c2d7d,Thu Mar 19 2020 18:19:44 GMT+0000 (Coordinated Universal Time),Online,https://zoom.us/meeting/register/tJ0sf-6uqDwuiOM_K3pOq2XQfTkIcx_7NQ,,,Free,Online,Design Overflow,,,
Get Closer to your Developer in Figma - Figma Design Team,get-closed-to-your-developer-in-figma-figma-design-team,5e1f40c8bbfbed43bd5c2d7d,Wed Apr 29 2020 13:19:46 GMT+0000 (Coordinated Universal Time),Online,https://bit.ly/figma-webinar,05/05/2020,,Free,Online,Figma Design ,,,
Girls X Tech Design Bootcamp - Sheroes,girls-x-tech-design-bootcamp-sheroes,5e1f40c8bbfbed43bd5c2d7d,Fri Apr 17 2020 18:13:20 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/e/1FAIpQLSfTTVzsrOrNIpMJ62OFEqbE7DB0QeOXb288EIuCF4WeCH_j-Q/viewform,20/04/2020,,Free,Online,Sheroes,,,
Going further with Pair Designing - From Figma Design Team,going-further-with-pair-designing-from-figma-design-team,5e1f40c8bbfbed43bd5c2d7d,Fri Apr 10 2020 05:56:50 GMT+0000 (Coordinated Universal Time),Online,https://figma.zoom.us/webinar/register/WN_Q1lcBsB9Rom6epRoF93I-g,14/04/2020,,Free,Online,Figma,,,
"Google Developer Group - MAD, March 2020 Meetup",google-developer-group-mad-march-2020-meetup,5e1f40c8bbfbed43bd5c2d7d,Sat Mar 21 2020 18:11:44 GMT+0000 (Coordinated Universal Time),,https://www.meetup.com/en-AU/gdg-mad/events/269562284/,,,Free,Online,GDG - MAD,,,
How To Design Forms Like An Expert - IDF x IBM,how-to-design-forms-like-an-expert-idf-x-ibm,5e1f40c8bbfbed43bd5c2d7d,Sun May 10 2020 15:00:26 GMT+0000 (Coordinated Universal Time),Online,https://www.interaction-design.org/master-classes/how-to-design-forms-like-an-expert,13/05/2020,,Paid,Online,IDF,,,
How to Land a Design Internship ,how-to-land-a-design-internship,5e1f40c8bbfbed43bd5c2d7d,Mon Apr 20 2020 17:20:29 GMT+0000 (Coordinated Universal Time),Online,https://forms.office.com/Pages/ResponsePage.aspx?id=oBzDhDusrk6tEVGdgCM-b0M_80BDlJBKlckWizqwtoxUMVlCTzNWNjVTQ1c4TVhOWTVWUElaRlNOSy4u,22/04/2020,,Free,Online,Rahul Goradia,,,
How to use data to design better products?,how-to-use-data-to-design-better-products,5e1f40c8bbfbed43bd5c2d7d,Fri Mar 06 2020 21:22:23 GMT+0000 (Coordinated Universal Time),Bangalore,https://hub.hellomeets.com/e/how-to-use-data-to-design-better-products,14/03/2020,04:00 PM,Paid,Online,Hellomeets,,,
How you can use Webflow to build & ship products fast without code,how-you-can-use-webflow-to-build-ship-products-fast-without-code,5e1f40c8bbfbed43bd5c2d7d,Thu Apr 09 2020 05:53:12 GMT+0000 (Coordinated Universal Time),Online,https://hub.hellomeets.com/e/how-you-can-use-webflow-to-build--ship-products-fast-without-code,25/04/2020,,Paid,Online,Hellomeets,,,
Impact of Design in the Post Pandemic World,impact-of-design-in-the-post-pandemic-world,5e1f40c8bbfbed43bd5c2d7d,Sat Apr 25 2020 13:57:50 GMT+0000 (Coordinated Universal Time),Online,https://docs.google.com/forms/d/1FHB08tCNpHfEqpzNQQ8NMQ49WuNYeOeu-js63YjLfy4/viewform?edit_requested=true,29/04/2020,,Free,Online,Yuj Designs,,,
Introduction to Design Sprint- Remote Meetup,introduction-to-design-sprint-remote-meetup,5e1f40c8bbfbed43bd5c2d7d,Fri Apr 17 2020 18:14:51 GMT+0000 (Coordinated Universal Time),Online,https://www.meetup.com/en-AU/Design-Sprint-India-Meetup-Group/events/269925624/,21/04/2020,,Free,Online,Design Sprint Academy,,,
Know your Customers & Create Products they Love to Use,know-your-customers-create-products-they-love-to-use,5e1f40c8bbfbed43bd5c2d7d,Wed May 13 2020 16:29:25 GMT+0000 (Coordinated Universal Time),Online,https://bit.ly/hellomeets-hubspot,17/05/2020,,Paid,Online,Hellomeets,,,
KNOWLDEGE. CAMP - Expert Meet with Sudhir Sharma,knowldege-camp-expert-meet-with-sudhir-sharma,5e1f40c8bbfbed43bd5c2d7d,Thu Mar 12 2020 04:00:40 GMT+0000 (Coordinated Universal Time),Kolkata,https://zoom.us/meeting/register/u5AqduGvrzIp1BOEyiZxTzBMyXDV4RcirA,,,Free,Online,"IDF, Kolkata",,,
Knowledge Camp-Expert Talk with Riya Thosar,knowledge-camp-expert-talk-with-riya-thosar,5e1f40c8bbfbed43bd5c2d7d,Thu Apr 09 2020 16:53:25 GMT+0000 (Coordinated Universal Time),Online,https://zoom.us/meeting/register/u5AlfuGhpjIiYXbsK9VtERJIiJkxHI6fiQ%E2%80%8B,11/04/2020,,Free,Online,IDF Kolkata,,,
 Latest news from Figma community and lightning talks - Figma,latest-news-from-figma-community-and-lightning-talks-figma,5e1f40c8bbfbed43bd5c2d7d,Sun May 10 2020 16:15:37 GMT+0000 (Coordinated Universal Time),Online,https://bit.ly/figma-london,14/05/2020,,Free,Online,Figma,,,
Lollypop Unplugged | Designing Products that People Love,lollypop-unplugged-designing-products-that-people-love-2,5e1f40c8bbfbed43bd5c2d7d,Sat Feb 29 2020 18:17:25 GMT+0000 (Coordinated Universal Time),Bangalore,https://docs.google.com/forms/d/e/1FAIpQLSc8C2PzhDHjeSFJwo3YCSf7xSeCpK5y3FpB5YxxhHzeoC4PRA/viewform?fbclid=IwAR1cA3bHeI_KcnLHuiEOxQGpNOEodGBmIkErv_QGDGWUnEPLiYZeYq_msHk,,11:00 - 13:00,Free,Postponed,Lollypop,,,
 Problem Framing – Solving the Right Problem,problem-framing-solving-the-right-problem,5e1f40c8bbfbed43bd5c2d7d,Tue May 05 2020 05:14:16 GMT+0000 (Coordinated Universal Time),Online,https://register.gotowebinar.com/register/3070312959716678926,06/05/2020,,Free,Online,QGLUE,,,
Pyschology in Crafting Beautiful User Experiences,pyschology-in-crafting-beautiful-user-experiences,5e1f40c8bbfbed43bd5c2d7d,Tue Mar 10 2020 13:00:15 GMT+0000 (Coordinated Universal Time),Online,https://hub.hellomeets.com/e/psychology-in-crafting-beautiful-user-experiences?v=m,,,Paid,Online,Hellomeets,,,
